Columna,Estaticos,Desaceledaro,Esperanza Futura,Emergentes,Grandes Creciendo
Educacion_Deserción_Primaria.5_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Deserción_Secundaria.5_Efecto,Positivo - Medio,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Deserción_Media.5_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación.5_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Transición.5_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Primaria.5_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Secundaria.5_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Media.5_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Reprobación.5_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Reprobación_Transición.5_Efecto,Negativo - Muy Alto,Positivo - Indeterminado,No significativo,No significativo,Positivo - Indeterminado
Educacion_Reprobación_Primaria.5_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Reprobación_Secundaria.5_Efecto,No significativo,Negativo - Indeterminado,No significativo,Positivo - Alto,Negativo - Indeterminado
Educacion_Reprobación_Media.5_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia.5_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Transición.5_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Repitencia_Primaria.5_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,Positivo - Alto,Negativo - Indeterminado
Educacion_Repitencia_Secundaria.5_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Media.5_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Población_5_16.6_Efecto,No significativo,No significativo,Negativo - Bajo,No significativo,No significativo
Educacion_Tasa_Matriculación_5_16.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Transición.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Primaria.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Secundaria.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Media.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Transición.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Primaria.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Secundaria.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Media.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Educacion_Tamaño_Promedio_De_Grupo.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Sedes_Conectadas_A_Internet.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Deserción.6_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Deserción_Transición.6_Efecto,No significativo,Negativo - Indeterminado,Positivo - Muy Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Deserción_Primaria.6_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Muy Alto,Negativo - Indeterminado
Educacion_Deserción_Secundaria.6_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Deserción_Media.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Transición.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Primaria.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Secundaria.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Media.6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Reprobación.6_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Reprobación_Transición.6_Efecto,No significativo,Positivo - Indeterminado,No significativo,No significativo,Positivo - Indeterminado
Educacion_Reprobación_Primaria.6_Efecto,No significativo,Negativo - Indeterminado,No significativo,Positivo - Muy Alto,Negativo - Indeterminado
Educacion_Reprobación_Secundaria.6_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Reprobación_Media.6_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Repitencia.6_Efecto,No significativo,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Transición.6_Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Primaria.6_Efecto,No significativo,Negativo - Indeterminado,No significativo,Positivo - Muy Alto,Negativo - Indeterminado
Educacion_Repitencia_Secundaria.6_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Media.6_Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Educacion_Población_5_16.7_Efecto,Negativo - Muy Bajo,No significativo,Negativo - Bajo,Positivo - Muy Bajo,Positivo - Bajo
Educacion_Tasa_Matriculación_5_16.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Transición.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Primaria.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Secundaria.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Media.7_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Transición.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Primaria.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Secundaria.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Media.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Educacion_Tamaño_Promedio_De_Grupo.7_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Sedes_Conectadas_A_Internet.7_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Deserción.7_Efecto,Positivo - Medio,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Deserción_Transición.7_Efecto,No significativo,Negativo - Indeterminado,No significativo,Positivo - Muy Alto,Negativo - Indeterminado
Educacion_Deserción_Primaria.7_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Deserción_Secundaria.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,Positivo - Medio,Negativo - Indeterminado
Educacion_Deserción_Media.7_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Transición.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Primaria.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Secundaria.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Media.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Reprobación.7_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,Positivo - Medio,Negativo - Indeterminado
Educacion_Reprobación_Transición.7_Efecto,No significativo,No significativo,No significativo,No significativo,Positivo - Indeterminado
Educacion_Reprobación_Primaria.7_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,Positivo - Alto,Negativo - Indeterminado
Educacion_Reprobación_Secundaria.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Reprobación_Media.7_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Repitencia.7_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Transición.7_Efecto,No significativo,No significativo,Negativo - Muy Alto,No significativo,No significativo
Educacion_Repitencia_Primaria.7_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,Positivo - Alto,Negativo - Indeterminado
Educacion_Repitencia_Secundaria.7_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Media.7_Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Educacion_Población_5_16.8_Efecto,Negativo - Muy Bajo,No significativo,Negativo - Bajo,Positivo - Muy Bajo,Positivo - Bajo
Educacion_Tasa_Matriculación_5_16.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Transición.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Primaria.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Secundaria.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Media.8_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Transición.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Primaria.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Secundaria.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Media.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Educacion_Tamaño_Promedio_De_Grupo.8_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Sedes_Conectadas_A_Internet.8_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Deserción.8_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Medio,Negativo - Indeterminado
Educacion_Deserción_Transición.8_Efecto,No significativo,Negativo - Indeterminado,Positivo - Muy Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Deserción_Primaria.8_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Deserción_Secundaria.8_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Medio,Negativo - Indeterminado
Educacion_Deserción_Media.8_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Transición.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Primaria.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Secundaria.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Media.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Reprobación.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Reprobación_Transición.8_Efecto,Negativo - Muy Alto,Positivo - Indeterminado,Negativo - Muy Alto,No significativo,Positivo - Indeterminado
Educacion_Reprobación_Primaria.8_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,Positivo - Medio,Negativo - Indeterminado
Educacion_Reprobación_Secundaria.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Reprobación_Media.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Transición.8_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Repitencia_Primaria.8_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,Positivo - Medio,Negativo - Indeterminado
Educacion_Repitencia_Secundaria.8_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Media.8_Efecto,No significativo,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Población_5_16.9_Efecto,Negativo - Muy Bajo,No significativo,Negativo - Bajo,No significativo,Positivo - Bajo
Educacion_Tasa_Matriculación_5_16.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Transición.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Primaria.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Secundaria.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Media.9_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Transición.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Primaria.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Secundaria.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Media.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Tamaño_Promedio_De_Grupo.9_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Sedes_Conectadas_A_Internet.9_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Deserción.9_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Medio,Negativo - Indeterminado
Educacion_Deserción_Transición.9_Efecto,No significativo,No significativo,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Deserción_Primaria.9_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Medio,Negativo - Indeterminado
Educacion_Deserción_Secundaria.9_Efecto,Positivo - Medio,Negativo - Indeterminado,Positivo - Alto,Positivo - Medio,Negativo - Indeterminado
Educacion_Deserción_Media.9_Efecto,No significativo,Negativo - Indeterminado,No significativo,Positivo - Alto,Negativo - Indeterminado
Educacion_Aprobación.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Transición.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Primaria.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Secundaria.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Media.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Reprobación.9_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,Positivo - Medio,Negativo - Indeterminado
Educacion_Reprobación_Transición.9_Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Educacion_Reprobación_Primaria.9_Efecto,No significativo,Negativo - Indeterminado,Positivo - Medio,Positivo - Alto,Negativo - Indeterminado
Educacion_Reprobación_Secundaria.9_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Reprobación_Media.9_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Repitencia.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Medio,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Transición.9_Efecto,No significativo,Negativo - Indeterminado,No significativo,No significativo,No significativo
Educacion_Repitencia_Primaria.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,Positivo - Alto,Negativo - Indeterminado
Educacion_Repitencia_Secundaria.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Media.9_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Población_5_16.10_Efecto,Negativo - Muy Bajo,No significativo,Negativo - Bajo,No significativo,Positivo - Bajo
Educacion_Tasa_Matriculación_5_16.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Transición.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Primaria.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Secundaria.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Neta_Media.10_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Transición.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Primaria.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Secundaria.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Cobertura_Bruta_Media.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Tamaño_Promedio_De_Grupo.10_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Sedes_Conectadas_A_Internet.10_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Deserción.10_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Deserción_Transición.10_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Deserción_Primaria.10_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Medio,Negativo - Indeterminado
Educacion_Deserción_Secundaria.10_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Deserción_Media.10_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,Positivo - Medio,Negativo - Indeterminado
Educacion_Aprobación.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Transición.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Primaria.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Secundaria.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Aprobación_Media.10_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Reprobación.10_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Medio,Positivo - Medio,Negativo - Indeterminado
Educacion_Reprobación_Transición.10_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Educacion_Reprobación_Primaria.10_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,Positivo - Alto,Negativo - Indeterminado
Educacion_Reprobación_Secundaria.10_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,Positivo - Medio,Negativo - Indeterminado
Educacion_Reprobación_Media.10_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Educacion_Repitencia.10_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Transición.10_Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Muy Alto
Educacion_Repitencia_Primaria.10_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Educacion_Repitencia_Secundaria.10_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Educacion_Repitencia_Media.10_Efecto,Positivo - Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Industria_Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Lotes_Mean_Area_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Lotes_Cantidad_Efecto,Positivo - Muy Alto,Negativo - Muy Alto,No significativo,No significativo,Negativo - Indeterminado
Lotes_Area_Mean_Construida_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Lotes_Cat_Area_Construida_0_x_Efecto,Positivo - Muy Alto,Negativo - Muy Alto,No significativo,No significativo,Negativo - Indeterminado
Lotes_Cat_Area_Construida_1_x_Efecto,Positivo - Medio,No significativo,No significativo,No significativo,Negativo - Alto
Lotes_Cat_Area_Construida_2_x_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Lotes_Cat_Area_Construida_3_x_Efecto,No significativo,Positivo - Indeterminado,No significativo,No significativo,No significativo
Lotes_Cat_Area_0_x_Efecto,No significativo,Positivo - Indeterminado,No significativo,No significativo,No significativo
Lotes_Cat_Area_1_x_Efecto,No significativo,Positivo - Indeterminado,No significativo,No significativo,No significativo
Lotes_Cat_Area_2_x_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Lotes_Cat_Area_3_x_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Lotes_Habitacion_promedio_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Lotes_Baños_promedio_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
